,Neighborhood,Total Venues,E-scores,Borough,Latitude,Longitude,TotalCrimes,KM Cluster Labels,DBSCAN_Labels
96,Fieldston,4,1.3862943611198906,Bronx,40.89543743,-73.9056426,1,1,0
97,Financial District,100,3.83329364049394,Manhattan,40.70710711,-74.01066545,776,1,1
98,Flatbush,19,2.5796246736085746,Brooklyn,40.63632589,-73.95840107,253,1,0
99,Flatiron,100,3.902429307896603,Manhattan,40.73967305,-73.99094711,655,1,1
100,Flatlands,16,2.3066687254045313,Brooklyn,40.63044604,-73.92911303,141,1,0
101,Floral Park,6,1.5607104090414063,Queens,40.74137842,-73.70884706,6,0,0
102,Flushing,66,3.5670383063205326,Queens,40.7644542,-73.831773,1239,1,-1
103,Fordham,83,3.5817290046540045,Bronx,40.8609968,-73.89642656,1332,1,-1
104,Forest Hills,39,3.2812683153930298,Queens,40.72526378,-73.84447501,109,1,0
105,Forest Hills Gardens,22,2.8389889331546985,Queens,40.71461108,-73.84102211,29,1,0
106,Fort Greene,66,3.816722917381466,Brooklyn,40.68852726,-73.97290574,101,1,0
107,Fort Hamilton,69,3.8019488263732604,Brooklyn,40.61476813,-74.03197915,184,1,0
108,Fox Hills,5,1.6094379124341005,Staten Island,40.61731079,-74.08173992,239,1,0
109,Fresh Meadows,15,2.3034884952192693,Queens,40.73439447,-73.78271337,17,0,0
110,Fulton Ferry,56,3.551725924102082,Brooklyn,40.70328109,-73.99550752,34,1,0
111,Georgetown,30,3.1527067166833547,Brooklyn,40.62384524,-73.91607484,86,1,0
112,Gerritsen Beach,21,2.7877881193860072,Brooklyn,40.59084843,-73.93010171,25,1,0
113,Glen Oaks,20,2.9264175554979963,Queens,40.7494408,-73.71548119,20,1,0
114,Glendale,6,1.7917594692280547,Queens,40.70276243,-73.87074167,15,0,0
115,Gowanus,62,3.7579826432409513,Brooklyn,40.67393114,-73.99444087,306,1,0
116,Gramercy,86,3.7270357700298367,Manhattan,40.73720983,-73.98137595,1385,1,-1
117,Graniteville,2,0.6931471805599453,Staten Island,40.62017151,-74.15315246,882,1,-1
118,Grant City,26,3.0981394963538036,Staten Island,40.57621559,-74.10585599,587,1,0
119,Grasmere,25,2.775261629309835,Staten Island,40.59826836,-74.07667436,82,1,0
120,Gravesend,22,2.6023807799324823,Brooklyn,40.59526001,-73.97347088,53,0,0
121,Great Kills,21,2.7555497906641793,Staten Island,40.54948023,-74.14932381,52,0,0
122,Greenpoint,100,3.7452856717121494,Brooklyn,40.73020098,-73.95424093,429,1,1
123,Greenridge,7,1.7478680974667573,Staten Island,40.55529524,-74.17079415,24,0,0
124,Greenwich Village,100,3.8505545648410453,Manhattan,40.72693289,-73.99991403,599,1,1
125,Grymes Hill,2,0.0,Staten Island,40.62418479,-74.0872482,151,1,2
126,Hamilton Heights,63,3.449772450063678,Manhattan,40.82360428,-73.94968792,661,1,-1
127,Hammels,18,2.20082764903455,Queens,40.58733774,-73.80553003,106,1,0
128,Heartland Village,10,2.3025850929940455,Staten Island,40.58913895,-74.15902208,146,0,0
129,High  Bridge,30,2.8754478444593765,Bronx,40.83662301,-73.92610209,630,0,0
130,Highland Park,15,2.5232109529528914,Brooklyn,40.68199893,-73.89034571,128,1,0
131,Hillcrest,20,2.8571028374420018,Queens,40.7238249,-73.79760301,18,1,0
132,Hollis,11,2.1458417525947544,Queens,40.71124344,-73.75925009,85,1,0
133,Holliswood,6,1.7917594692280547,Queens,40.72095721,-73.76714167,24,1,0
134,Homecrest,38,3.135788186513552,Brooklyn,40.5985251,-73.95918459,217,0,0
135,Howard Beach,37,3.2079600775434685,Queens,40.65422528,-73.83813765,31,1,0
